Speaker	sound name	Segment	Context	Prompt	Duration	x_1	y_1	x_2	y_2	x_3	y_3	x_4	y_4	x_5	y_5	x_6	y_6	x_7	y_7	x_8	y_8	x_9	y_9	x_10	y_10	x_11	y_11	x_12	y_12	x_13	y_13	x_14	y_14	x_15	y_15	x_16	y_16	x_17	y_17	x_18	y_18	x_19	y_19	x_20	y_20	x_21	y_21	x_22	y_22	x_23	y_23	x_24	y_24	x_25	y_25	x_26	y_26	x_27	y_27	x_28	y_28	x_29	y_29	x_30	y_30	x_31	y_31	x_32	y_32	x_33	y_33	x_34	y_34	x_35	y_35	x_36	y_36	x_37	y_37	x_38	y_38	x_39	y_39	x_40	y_40	x_41	y_41	x_42	y_42
test	  File264	l	suffix	The swarm moves free-ly	0.065	*	*	*	*	*	*	*	*	*	*	*	*	*	*	5.3002	7.2428	5.5886	7.6154	5.864	8.0383	6.1857	8.418	6.5653	8.7139	6.962	8.9947	7.3526	9.3215	7.7232	9.7685	8.1647	10.0576	8.6617	10.158	9.1566	10.2702	9.6428	10.4814	10.1427	10.7013	10.6583	10.9724	11.1955	11.1376	11.7556	11.4004	12.3272	11.5207	12.8948	11.5107	13.4751	11.5243	14.0392	11.4271	14.6034	11.3156	15.1952	11.2643	15.7541	11.0972	16.2776	10.8408	16.8313	10.6446	17.1637	10.0543	17.5422	9.5932	17.9151	9.1526	18.3387	8.7978	18.8036	8.493	*	*	*	*	*	*	*	*	*	*
test	  File226	l	morpheme-boundary	He's peel-ing grapes	0.0616	*	*	*	*	*	*	5.3949	4.6972	5.2244	5.3898	5.2715	5.9178	5.2183	6.6282	5.2748	7.2785	5.6288	7.5533	5.9477	7.895	6.2968	8.2059	6.6543	8.5234	7.0075	8.8843	7.4049	9.1759	7.8229	9.4451	8.2784	9.6175	8.7415	9.7778	9.2003	10.001	9.6733	10.217	10.1574	10.4881	10.6633	10.7584	11.1917	10.9756	11.7451	11.2482	12.3021	11.3031	12.8609	11.3022	13.4428	11.3707	14.0098	11.3137	14.5489	11.1387	15.0638	10.8985	15.58	10.6745	16.1038	10.4687	16.631	10.2625	17.1267	9.991	17.5179	9.5556	17.9151	9.1526	18.3182	8.7717	18.7085	8.3828	19.1442	8.0474	19.4811	7.6095	19.957	7.301	*	*	*	*
test	  File287	l	internal-boundary	The seal-index is accurate	0.0752	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	5.7493	8.2347	6.0181	8.7377	6.3726	9.1268	6.7158	9.5924	7.0727	10.1009	7.5194	10.4302	8.0283	10.5855	8.5043	10.9081	9.0014	11.2263	9.5302	11.4563	10.076	11.6674	10.6386	11.8305	11.2139	11.9373	11.7929	11.9406	12.376	11.943	12.9667	11.9538	13.5611	11.9343	14.1265	11.7652	14.6682	11.5262	15.172	11.1998	15.6743	10.9033	16.1243	10.5125	16.5858	10.1763	17.0527	9.8644	17.4862	9.5067	17.8099	9.0055	18.1732	8.5875	18.481	8.1196	18.7277	7.6078	19.0448	7.1896	*	*	*	*	*	*
test	  File252	l	morpheme-boundary	He's peel-ing grapes	0.0698	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	6.0817	7.6657	6.4509	7.912	6.7761	8.2625	7.2381	8.3245	7.5876	8.6673	7.9829	8.9257	8.3629	9.2906	8.7609	9.6856	9.2172	9.8966	9.6794	10.1641	10.1574	10.4881	10.662	10.8128	11.1955	11.1376	11.7561	11.408	12.3211	11.4679	12.885	11.4502	13.4751	11.5243	14.065	11.5273	14.673	11.5416	15.2632	11.4539	15.8185	11.2533	16.357	11.0109	16.8752	10.7284	17.3074	10.3003	17.6874	9.8174	18.0707	9.3703	18.3907	8.8639	18.7049	8.3787	19.0412	7.9387	19.5622	7.6875	*	*	*	*	*	*
test	  File200	l	morpheme-boundary	He's peel-ing grapes	0.0843	*	*	*	*	*	*	*	*	5.4596	5.1417	5.4422	5.7203	5.4302	6.3589	5.4303	7.0608	5.7004	7.4427	5.9477	7.895	6.2634	8.2698	6.6749	8.4793	7.0795	8.7094	7.4792	8.9691	7.9029	9.1853	8.3337	9.4038	8.7846	9.5724	9.2355	9.784	9.6923	10.0527	10.1685	10.3282	10.6657	10.6513	11.1893	10.8672	11.7267	10.982	12.2777	11.0919	12.8356	11.1458	13.419	11.2572	14.0098	11.3137	14.5883	11.2668	15.121	11.0578	15.6443	10.8306	16.2051	10.6856	16.6866	10.3685	17.2007	10.1176	17.5581	9.6178	17.8716	9.0918	18.2513	8.6867	18.6555	8.3215	19.0146	7.9106	19.3162	7.4508	19.5861	6.9754	*	*	*	*
test	  File187	l	foot-initial	Don't believe the hype	0.0809	*	*	*	*	*	*	*	*	5.4344	5.1682	5.3929	5.7774	5.6219	6.1152	5.9226	6.3723	6.2338	6.6191	6.4568	7.0235	6.7413	7.3578	7.0197	7.7407	7.3257	8.1118	7.6509	8.4912	7.998	8.8767	8.3759	9.2403	8.7976	9.5107	9.2341	9.7922	9.697	10.0116	10.1685	10.3282	10.6694	10.4908	11.1868	10.7616	11.7267	10.982	12.2777	11.0919	12.8694	11.3543	13.4751	11.5243	14.078	11.5775	14.6833	11.575	15.2694	11.471	15.8451	11.318	16.3979	11.0986	16.8752	10.7284	17.3307	10.3401	17.6401	9.7444	17.9548	9.2082	18.2775	8.72	18.5111	8.1544	18.8597	7.7471	19.1805	7.3201	19.5484	6.9424	*	*	*	*
test	  File255	l	intervocalic	and Felix is served	0.0494	*	*	*	*	*	*	*	*	*	*	5.759	5.3536	5.6845	6.0357	5.7024	6.6803	5.7425	7.3778	5.9128	7.9549	6.1405	8.5042	6.4328	8.9979	6.8398	9.2914	7.257	9.5877	7.708	9.8178	8.1666	10.0504	8.6327	10.2963	9.0993	10.6232	9.5989	10.8618	10.1234	10.98	10.6528	11.2119	11.1998	11.3275	11.7625	11.5004	12.352	11.735	12.9676	11.9596	13.5564	11.9119	14.1665	11.9198	14.7911	11.9252	15.3895	11.8054	15.9659	11.6113	16.5742	11.4762	17.1487	11.2503	17.5851	10.7757	17.8838	10.1206	18.1641	9.5009	18.5033	9.0071	18.855	8.5524	19.2462	8.1549	*	*	*	*	*	*	*	*
test	  File258	l	fPreC	Mr Peale Banana's from Manchester	0.0745	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	6.6436	9.7676	7.0325	10.2127	7.4892	10.5281	7.9894	10.7363	8.459	11.1239	8.9916	11.2866	9.5431	11.3446	10.0946	11.3975	10.646	11.5084	11.2053	11.5641	11.7671	11.5677	12.3333	11.5735	12.9046	11.5715	13.4405	11.3596	14.0064	11.3005	14.5246	11.0599	15.0624	10.8948	15.5379	10.5723	15.9945	10.2345	16.3741	9.7723	16.7944	9.4222	17.1385	8.9698	17.506	8.5804	17.9001	8.2403	18.3328	7.9481	18.7052	7.5842	*	*	*	*	*	*	*	*
test	  File214	l	foot-initial	Don't believe the hype	0.0995	*	*	*	*	*	*	5.3403	4.7497	5.4865	5.1133	5.5408	5.6061	5.5493	6.2076	5.5426	6.9039	5.8701	7.1807	6.1888	7.4824	6.5632	7.6976	6.9279	7.9373	7.3068	8.1577	7.6679	8.4437	8.0432	8.73	8.4019	9.1398	8.8084	9.4593	9.2524	9.6796	9.6923	10.0527	10.1648	10.3815	10.6657	10.6522	11.1917	10.9756	11.7448	11.2443	12.3204	11.4615	12.8962	11.5193	13.4751	11.5243	14.0583	11.5013	14.6382	11.4286	15.2122	11.3117	15.762	11.1163	16.2353	10.7502	16.6866	10.3685	17.1461	10.0242	17.4935	9.518	17.886	9.1119	18.1992	8.6205	18.5568	8.2073	18.8318	7.7177	*	*	*	*	*	*	*	*
test	  File266	l	foot-initial	Don't believe the hype	0.0642	*	*	*	*	*	*	*	*	*	*	5.5747	5.5669	5.5864	6.1604	5.6876	6.701	5.968	7.0296	6.249	7.3792	6.5525	7.718	6.9294	7.934	7.2348	8.3325	7.5595	8.7456	7.9585	9.0046	8.3207	9.454	8.707	9.9422	9.1721	10.1742	9.6611	10.3228	10.1537	10.5414	10.6596	10.9189	11.2004	11.3516	11.7635	11.5145	12.3448	11.6727	12.9385	11.78	13.5503	11.883	14.1558	11.8784	14.7529	11.8009	15.3328	11.6475	15.8639	11.3637	16.357	11.0109	16.7757	10.5387	17.2239	10.1574	17.5338	9.5802	17.8787	9.1017	18.2869	8.7319	18.7773	8.4625	19.2484	8.1572	*	*	*	*	*	*	*	*
